Title,Venue short,Year,Task Type,Task,Programming Language(s),Training Set Size,Test Set Size,Granularity,Pre-Training,is_ML_Based,ML Technique,Approach,Evaluation Metrics,Solution in industry,Qualitative,Link Replication Package,is_RP_still_available
CORMS: a GitHub and Gerrit based hybrid code reviewer recommendation approach for modern code review,ESEC/FSE,2022,Other,Recommending Reviewers,Independent,24.5k,6.1k,PR,FALSE,TRUE,SVM,ML,"Accuracy@k Mean Reciprocal Rank",FALSE,FALSE,http://cormstool.herokuapp.com,NO
CORRECT: Code Reviewer Recommendation in GitHub Based on Cross-Project and Technology Experience,ICSE-C,2016,Other,Recommending Reviewers,"Python, Java, Ruby",15.2k (training) + 3.7k (validation),17.1k,PR,FALSE,FALSE,-,Heuristic-based,"Accuracy@k  Precision  Recall  Mean Reciprocal Rank",FALSE,FALSE,https://www.usask.ca/~mor543/correct,NO
CoRA: Decomposing and Describing Tangled Code Changes for Reviewer,ASE,2019,Code Change Analysis,Decomposing Tangled Commit,Java,-,50,Commit,FALSE,FALSE,-,Heuristic-based,"Accuracy  Mean Average Precision Mean Reciprocal Rank",FALSE,TRUE,NO,-
Code Review Knowledge Perception: Fusing Multi-Features for Salient-Class Location,TSE,2022,Code Change Analysis,Predicting Salient-Class,Java,7.6k (10-fold cross-validation),7.6k (10-fold cross-validation),Commit,FALSE,TRUE,Random Forest,ML,"Precision  Recall  Accuracy",FALSE,TRUE,NO,-
Code Reviewer Recommendation Based on a Hypergraph with Multiplex Relationships,SANER,2024,Other,Recommending Reviewers,Independent,"48,374","48,374",PR,FALSE,FALSE,-,Graph-based,"Accuracy
Mean Reciprocal Rank",FALSE,FALSE,https://github.com/cufeinfor/MIRRec,YES
Code Reviewer Recommendation for Architecture Violations: An Exploratory Study,EASE,2023,Other,Recommending Reviewers,Independent,547,547,Commit,FALSE,FALSE,-,Heuristic-based,"Accuracy Mean Reciprocal Rank",FALSE,FALSE,https://zenodo.org/record/7292881,YES
CoditT5: Pretraining for Source Code and Natural Language Editing,ASE,2023,Revised Code Generation,Implementing the Code Change Requested by a Reviewer,Java,14k (training) + 1.7k (validation),1.7k,Method,TRUE,TRUE,CodeT5,DL,"BLEU
Exact Match
METEOR
GLEU
SARI",FALSE,FALSE,https://github.com/EngineeringSoftware/CoditT5,YES
"CommentFinder: a simpler, faster, more accurate code review comments recommendation",ESEC/FSE,2022,Code Change Quality Check,Generating Review Comments,Java,~151k,~16.8k,Method,FALSE,FALSE,-,IR,"Exact Match,  BELU-4",FALSE,FALSE,https://github.com/awsm-research/CommentFinder,YES
Contrastive Learning for Multi-Modal Automatic Code Review,SEKE,2022,Code Change Classification,"Predicting Code Changes Approval, Merge, or Need for review",Java,"~523.5k Training and test set split not specified","~523.5k Training and test set split not specified",Method,TRUE,TRUE,SimAST-GCN + RoBERTa,DL,"F1-score Matthew’s Correlation Coefficient",FALSE,FALSE,https://github.com/SimAST-GCN/CLMN,YES
D-ACT: Towards Diff-Aware Code Transformation for Code Review Under a Time-Wise Evaluation,SANER,2023,Revised Code Generation,Predicting the Code Output of the Review Process,Java,51.86k,5.8k,Method,TRUE,TRUE,CodeT5,DL,Accuracy,FALSE,FALSE,https://github.com/awsm-research/D-ACT-Replication-Package,YES
Deep Review Sharing,SANER,2019,Retrieval of Similar CR/CC,Augmenting Reviews,Java,72.5k (Ground Knowledge),200,Code hunk,FALSE,FALSE,-,IR,"manually:
#RS: reasonable sharing
#TC: detected true clone
#NC: detected non-clone
R-Rate: proportion of #RS among #TC",FALSE,TRUE,NO,-
Detection and Elimination of Systematic Labeling Bias in Code Reviewer Recommendation Systems,EASE,2021,Other,Recommending Reviewers,Independent,"9.5k  Training and test set split not specified","9.5k Training and test set split not specified",PR,FALSE,TRUE,"Several reviewer recommendation techniques: Profile-Based, RSTrace, Naive Bayes, k-NN, and Decision Tree",ML,"Accuracy@k Mean Reciprocal Rank",FALSE,FALSE,https://figshare.com/s/1b9ea55377d9f2c31a7a,YES
Do Words Have Power? Understanding and Fostering Civility in Code Review Discussion,PACMSE,2024,Code Review Sent. Analysis,Identifying Toxic/Uncivil Code Review Comments,Independent,22k,"2.4k + 1k 
+ 252",Comment,TRUE,TRUE,BERT (ToxiCR),DL,"Accuracy
Precision
Recall
F1-score",FALSE,FALSE,https://github.com/Oyakiolo052/ATUC_Artifacts,YES
Do Words Have Power? Understanding and Fostering Civility in Code Review Discussion,PACMSE,2024,Code Review Sent. Analysis,Rephrasing Toxic/Uncivil Comments,Independent,6.4K,"2k
+ 252",Comment,TRUE,TRUE,"T5
BART
NLLB
MarianMT
GPT3.5",DL,"Incivility Decrease
Semantic Similarity
Sentence Similarity
Length Dissimilarity
SentiCR
SentiStrength-SE
RoBERTa
J
Perplexity",FALSE,TRUE,https://github.com/Oyakiolo052/ATUC_Artifacts,YES
Don't forget to change these functions! recommending co-changed functions in modern code review,JIST,2024,Code Change Analysis,Impact Analysis for Code Review,"Python, Java, C++",43965,8793,PR,FALSE,FALSE,-,Graph-based,"Accuracy@k
Recall@k
Mean Average Precision",FALSE,TRUE,https://github.com/CoChangeFinder/CoChangeFinder,YES
EARec: Leveraging Expertise and Authority for Pull-Request Reviewer Recommendation in GitHub,CSI-SE,2016,Other,Recommending Reviewers,Independent,15.5k,"1,156",PR,FALSE,FALSE,-,Heuristic-based,"Precision Recall F1-score",FALSE,FALSE,NO,-
Early prediction for merged vs abandoned code changes in modern code reviews,JIST,2022,Code Change Classification,"Predicting Code Changes Approval, Merge, or Need for review",Independent,146.6k,146.6k,Code change,FALSE,TRUE,LightGBM,ML,"Area Under the ROC Curve Cost-Effectiveness  Precision  Recall  F1-score",FALSE,FALSE,https://github.com/khairulislam/Predict-Code-Changes,YES
Early prediction of merged code changes to prioritize reviewing tasks,EMSE,2018,Code Change Classification,"Predicting Code Changes Approval, Merge, or Need for review",Java,166.2k,166.2k,PR,FALSE,TRUE,Random Forest,ML,"Area Under the ROC Curve Cost effectiveness  Normalized Improvement  Precision  Recall  F1-score",FALSE,FALSE,NO,-
EvaCRC: Evaluating Code Review Comments,ESEC/FSE,2023,Assessing Review Quality,Classifying the Usefulness of Review Comments,Independent,17k (5-fold cross-validation),17k (5-fold cross-validation),Review comment,TRUE,TRUE,"RF, TextCNN, TextRCNN, DPCNN, Transformer, BERT",ML + DL,"Hamming Loss Subset 0/1 Loss Macro-F1 Macro-AUC Precision Recall F1-score Area Under the ROC Curve",TRUE,TRUE,https://zenodo.org/records/8297481,YES
Example Driven Code Review Explanation,ESEM,2022,Retrieval of Similar CR/CC,Augmenting Reviews,Independent,2978 (Knowledge Base),744,Review comment,FALSE,TRUE,SVM,ML,"Accuracy F1-score",FALSE,FALSE,NO,-
Example Driven Code Review Explanation,ESEM,2022,Assessing Review Quality,Identifying/Improving Review Comments Needing Further Explanations,Independent,2978 (Knowledge Base),744,Review comment,FALSE,TRUE,SVM,ML,"Accuracy F1-score",FALSE,FALSE,NO,-
Expanding the Number of Reviewers in Open-Source Projects by Recommending Appropriate Developers,ICSME,2020,Other,Recommending Reviewers,Independent,86.5k,86.5k,PR,FALSE,FALSE,-,Search-based,"Accuracy Mean Reciprocal Rank",FALSE,FALSE,https://github.com/alexchueshev/icsme2020,YES
Explaining Explanations: An Empirical Study of Explanations in Code Reviews,TOSEM,2024,Assessing Review Quality,Identifying/Improving Review Comments Needing Further Explanations,Independent,30 (Prompt Engineering),90,Review comment,TRUE,TRUE,ChatGPT,DL,"Correct Type
Correct Explanation

Manually: clarity and informativeness",FALSE,TRUE,https://figshare.com/s/135201b8f87ab705448b,YES
Exploring the impact of code review factors on the code review comment generation,ASE,2024,Code Change Quality Check,Generating Review Comments,Java,403k (training) + 134k (validation),134k,Code snippet,TRUE,TRUE,"CodeT5
GPT4",DL,"BLEU
ROUGE-L
METEOR
BERTScore",FALSE,FALSE,https://zenodo.org/records/10964945,YES
"Factoring Expertise, Workload, and Turnover Into Code Review Recommendation",TSE,2024,Other,Recommending Reviewers,Independent,80k,80k,PR,FALSE,FALSE,-,Heuristic-based,"Mean Reciprocal Rank

Simulation:
degree of reviewer Expertise
GiniWork of reviewers
File at Risk",FALSE,FALSE,https://github.com/rigbypc/SofiaWL/tree/master/ReplicationPackage,YES
Fine-Tuning Large Language Models to Improve Accuracy and Comprehensibility of Automated Code Review,TOSEM,2024,Code Change Quality Check,Generating Review Comments,"Go, Python, C, C++, JavaScript, Java","19,456",2000,Code diff,TRUE,TRUE,"LLaMA
LLaMA2
CodeLLaMA
Magicoder",DL,"Recall
Precision
F1-score
Accuracy

Manually:
Degree of Clarity",FALSE,TRUE,https://github.com/aiopsplus/Carllm,YES
Fine-tuning and prompt engineering for large language models-based code review automation,JIST,2024,Revised Code Generation,Implementing the Code Change Requested by a Reviewer,"C, C++, C#, Go, Java, JavaScript, PHP, Python, and Ruby","150,405 (training) + 13,102 (validation) (CodeReviewer)
134,238 (training) + 16,779 (validation) (Tufano)
14,690 (training) + 1,836 (validation) (Android)
9,899 (training) + 1,237 (validation) (Google)
21,509 (training) + 2,686 (validation) (Ovirt)","13,104(CodeReviewer)
16,779 (Tufano)
1,835 (Android)
1,235 (Google)
2,688 (Ovirt)",Diff hunk/Method,TRUE,TRUE,"GPT-3.5
Magicoder",DL,"Exact Match
CodeBLEU",FALSE,FALSE,https://github.com/awsm-research/LLM-for-code-review-automatiton,YES
GPP: A Graph-Powered Prioritizer for Code Review Requests,ASE,2024,Time Management,Prioritizing Review Requests,Independent,"426,933","426,933",PR,FALSE,TRUE,Graph Neural Network (Attentive FP),DL,"Normalized Discounted Cumulative Gain Mean Reciprocal Rank
Mean Average Precision
Normalized Priority Score",FALSE,FALSE,https://figshare.com/s/133f23da558b7b254041?file=46923235,YES
Graph-based visualization of merge requests for code review,JSS,2023,Other,Visualizing Code Changes,Java,-,-,PR,FALSE,FALSE,-,Graph-based,-,TRUE,TRUE,https://zenodo.org/record/7047993#.Y2JqNS-B2Uo,YES
Helping Developers Help Themselves: Automatic Decomposition of Code Review Changesets,ICSE,2015,Code Change Analysis,Decomposing Tangled Commit,C#,-,1k,Commit,FALSE,FALSE,-,Heuristic-based,Number of meaningful partitions identified,FALSE,TRUE,NO,-
Improving Automated Code Reviews: Learning from Experience,MSR,2024,Code Change Quality Check,Generating Review Comments,"C, C++, C#, Go, Java, JavaScript, PHP, Python, and Ruby","141,259 (training) + 12,406 (validation)","12,369",Code diff,TRUE,TRUE,CodeT5,DL,"BLEU-4

Manually:
Semantic Equivalence
Applicability
Feedback Type
Presence of Explanation
Comment Category",FALSE,TRUE,https://zenodo.org/records/10572047,YES
Improving Code Refinement for Code Review Via Input Reconstruction and Ensemble Learning,APSEC,2023,Revised Code Generation,Implementing the Code Change Requested by a Reviewer,"C, C++, C#, Go, Java, JavaScript, PHP, Python, and Ruby","150,406 (training) + 13,103 (validation)","13,104",Code diff,TRUE,TRUE,CodeT5,IR + DL + Voting,Exact Match,FALSE,FALSE,https://github.com/moonmengmeng/EnRefiner,YES
Improving the Learning of Code Review Successive Tasks with Cross-Task Knowledge Distillation,PACMSE,2024,Code Change Quality Check,Generating Review Comments,"PhP, Ruby, C#, C, Java, Python, C++, GO, Javascript",150k (training) + 7k (validation),13k,Code diff,TRUE,TRUE,CodeT5,DL,BLEU,FALSE,FALSE,https://zenodo.org/records/10676741,YES
Improving the Learning of Code Review Successive Tasks with Cross-Task Knowledge Distillation,PACMSE,2024,Revised Code Generation,Implementing the Code Change Requested by a Reviewer,"PhP, Ruby, C#, C, Java, Python, C++, GO, Javascript",150k (training) + 7k (validation),13k,Code diff,TRUE,TRUE,CodeT5,DL,CodeBLEU,FALSE,FALSE,https://zenodo.org/records/10676741,YES
Improving the pull requests review process using learning-to-rank algorithms,EMSE,2019,Code Change Classification,Identifying Quickly Reviewable Changes,Java,100.1k,100.1k,PR,FALSE,TRUE,Random Forest,ML,Normalized Discounted Cumulative Gain,FALSE,TRUE,NO,-
Incivility detection in open source code review and issue discussions,JSS,2024,Code Review Sent. Analysis,Identifying Toxic/Uncivil Code Review Comments,Independent,"1533 emails 5511 comments 1642 labeled sentences (5-fold cross-validation)","1533 emails 5511 comments 1642 labeled sentences (5-fold cross-validation)",Email text /Review comment/Sentence,TRUE,TRUE,"BERT, CART, KNN, Logistic Regression, Naive Bayes, Random Forest, SVM ",ML + DL,"Precision Recall F1-score Matthew’s Correlation Coefficient",FALSE,FALSE,https://doi.org/10.6084/m9.figshare.24603237,YES
Integrating Visual Aids to Enhance the Code Reviewer Selection Process,ICSME,2023,Other,Recommending Reviewers,Independent,383,55,PR,FALSE,FALSE,-,Graph-based,"Precision
Recall
F1-score
Mean Reciprocal Rank","Not really, but ...",TRUE,https://zenodo.org/records/8190493,YES
Intelligent Code Review Assignment for Large Scale Open Source Software Stacks,ASE,2023,Other,Recommending Reviewers,Independent,1k,-,Commit,TRUE,TRUE,BERT + XLNet,DL,"Accuracy F1-score",FALSE,FALSE,NO,-
LLaMA-Reviewer: Advancing Code Review Automation with Large Language Models through Parameter-Efficient Fine-Tuning,ISSRE,2023,Code Change Quality Check,Generating Review Comments,"C, C++, C#, Go, Java, JavaScript, PHP, Python, and Ruby","134k (training) + 17k (validation) 118k (training) + 10k (validation)","17k 10k",Method/Code line,TRUE,TRUE,LLaMA,LLM,BLEU-4,FALSE,FALSE,https://zenodo.org/records/7991113,YES
LLaMA-Reviewer: Advancing Code Review Automation with Large Language Models through Parameter-Efficient Fine-Tuning,ISSRE,2023,Revised Code Generation,Implementing the Code Change Requested by a Reviewer,"C, C++, C#, Go, Java, JavaScript, PHP, Python, and Ruby","134k (training) + 17k (validation) 118k (training) + 10k (validation)","17k 10k",Method/Code line,TRUE,TRUE,LLaMA,DL,BLEU-4,FALSE,FALSE,https://zenodo.org/records/7991113,YES
LLaMA-Reviewer: Advancing Code Review Automation with Large Language Models through Parameter-Efficient Fine-Tuning,ISSRE,2023,Code Change Classification,"Predicting Code Changes Approval, Merge, or Need for review","C, C++, C#, Go, Java, JavaScript, PHP, Python, and Ruby","134k (training) + 17k (validation) 118k (training) + 10k (validation)","17k 10k",Method/Code line,TRUE,TRUE,LLaMA,LLM,"Precision
Recall
F1-score",FALSE,FALSE,https://zenodo.org/records/7991113,YES
Large-scale intent analysis for identifying large-review-effort code changes,JIST,2021,Code Change Classification,Identifying Large-review-effort Code Changes,Independent,136k (10-fold cross-validation),136k (10-fold cross-validation),Code changes/Commit,FALSE,TRUE,Random Forest,ML,"Precision  Recall  F1-score Area Under the ROC Curve",TRUE,TRUE,https://bitbucket.org/wangsonging/ist2020_repo/src/master/,YES
Learning to Predict Code Review Completion Time In Modern Code Review,EMSE,2023,Time Management,Predicting Pull Request/Code Review Completion Time,Independent,286.3k,286.3k,Commit,FALSE,TRUE,Various,ML,"Mean Absolute Error Mean Relative Error Standard Accuracy ",FALSE,FALSE,https://github.com/stilab-ets/MCRDuration,YES
MULTICR: Predicting Merged and Abandoned Code Changes in Modern Code Review Using Multi-Objective Search,TOSEM,2024,Code Change Classification,"Predicting Code Changes Approval, Merge, or Need for review",Independent,Yes,"146,612",Code change,FALSE,FALSE,-,Search-based,"Matthew’s Correlation Coefficient F1-score Precision Recall",FALSE,TRUE,https://github.com/stilab-ets/multicr,YES
Mining Source Code Improvement Patterns from Similar Code Review Works,IWSC,2019,Retrieval of Similar CR/CC,Mining Code Improvement Patterns,Python,"555,050","61,673",Diff hunk,FALSE,FALSE,-,Sequential pattern mining,Accuracy,FALSE,TRUE,NO,-
"Mitigating Turnover with Code Review Recommendation: Balancing Expertise, Workload, and Knowledge Distribution",ICSE,2020,Other,Recommending Reviewers,Independent,"82,294","82,294",PR,FALSE,FALSE,-,Mix of reviewer recommender with a new heuristic to mitigate turnover,"Mean Reciprocal Rank Reviewer Expertise Reviewer CoreWorkload File at Risk",FALSE,FALSE,https://github.com/cesel/relationalgit,YES
Modeling Review History for Reviewer Recommendation: A Hypergraph Approach,ICSE,2022,Other,Recommending Reviewers,Independent,-,87394,PR,FALSE,FALSE,-,Graph-based,"Accuracy
Mean Reciprocal Rank
Recommendation Distribution",FALSE,FALSE,NO,-
"Multi-objective code reviewer recommendations: balancing expertise, availability and collaborations",ASE,2020,Other,Recommending Reviewers,Independent,41.6k,9k,PR,FALSE,FALSE,-,Search-based,"Precision Recall Mean Reciprocal Rank",FALSE,FALSE,NO,-
Partitioning Composite Code Changes to Facilitate Code Review,MSR,2015,Code Change Analysis,Decomposing Tangled Commit,Java,-,78,Commit/Review,FALSE,FALSE,-,Heuristic-based,Exact Match,FALSE,TRUE,NO,-
Predicting Design Impactful Changes in Modern Code Review: A Large-Scale Empirical Study,MSR,2021,Code Change Classification,Identifying Impactful Code Changes,Java,21.4k (10-fold cross-validation),21.4k (10-fold cross-validation),Commit,FALSE,TRUE,"Logistic Regression, Naive Bayes, SVM, Decision Tree, Random Forest, Gradient Boosting",ML,"Precision  Recall  F1-score  Area Under the ROC Curve",FALSE,FALSE,https://zenodo.org/record/4563214#.Y0kjiexBwQg,YES
Predicting Developers' Negative Feelings about Code Review,ICSE,2020,Code Review Sent. Analysis,Identifying “Pushback” Feelings in Reviews,Independent,-,-,Code review,FALSE,FALSE,-,Heuristic-based,"Precision Recall",FALSE,FALSE,In the paper the autors refer to this Supplementary Material. But there is no link,-
Predicting Usefulness of Code Review Comments Using Textual Features and Developer Experience,MSR,2017,Assessing Review Quality,Classifying the Usefulness of Review Comments,Python,1482 (10-fold cross-validation),1482 (10-fold cross-validation),Review comment,FALSE,TRUE,Random Forest Logistic Regression Naive Bayes,ML,"Precision  Recall  F1-score  Accuracy",FALSE,FALSE,http://homepage.usask.ca/%E2%88%BCmasud.rahman/revhelper,NO
Quality Evaluation of Modern Code Reviews Through Intelligent Biometric Program Comprehension,TSE,2023,Assessing Review Quality,Assessing Review Quality through Biometrics,C,-,60 reviews/149 code regions,Code review/Code regions,FALSE,TRUE,KNN + Logistic Regression,ML + Rule based,"Precision  Recall  F1-score  Accuracy",FALSE,FALSE,https://github.com/HaythamHijazi/Supplement,YES
RAID: Tool Support for Refactoring-Aware Code Reviews,ICPC,2021,Other,Visualizing Code Changes,"Java, JavaScript, C, Go",-,-,Diff hunk,FALSE,FALSE,-,Heuristic-based,-,TRUE,TRUE,https://github.com/rodrigo-brito/refactoring-aware-diff,YES
RSTrace+: Reviewer suggestion using software artifact traceability graphs,JIST,2021,Other,Recommending Reviewers,Independent,-,"77,548",Commit,FALSE,FALSE,-,Graph-based,"Accuracy@k
Mean Reciprocal Rank",FALSE,FALSE,"https://github.com/sulunemre/rstrace-replication

https://data.mendeley.com/preview/w438t8x35n?a=044a13a6-e7dd-40aa-9cde-9a7672eecb2a",YES
Recommending Code Reviewers for Proprietary Software Projects: A Large Scale Study,SANER,2022,Other,Recommending Reviewers,Independent,-,-,PR,FALSE,FALSE,-,Graph/Search-based,"Accuracy@k
Mean Reciprocal Rank
Mean Precision
Mean Recall
Reviewer Coverage",FALSE,FALSE,NO,-
Recommending Code Reviews Leveraging Code Changes with Structured Information Retrieval,ICSME,2023,Retrieval of Similar CR/CC,Augmenting Reviews,"Java, Python",~39k,~17k,Diff hunk/File,FALSE,FALSE,-,IR,"BLEU Exact Match Semantic Similarity",FALSE,FALSE,Dataset: https://drive.google.com/file/d/15kq7LqvfY-oP1M1UDdK_lLmUfq71daVR/view,YES
Reducing human effort and improving quality in peer code reviews using automatic static analysis and reviewer recommendation,ICSE,2013,Code Change Quality Check,Reviewing via Static Analysis,Java,-,8711,PR,FALSE,FALSE,-,Heuristic-based,-,TRUE,TRUE,NO,-
Reducing human effort and improving quality in peer code reviews using automatic static analysis and reviewer recommendation,ICSE,2013,Other,Recommending Reviewers,Java,-,8711,PR,FALSE,FALSE,-,Heuristic-based,Accuracy,FALSE,FALSE,NO,-
Resolving Code Review Comments with Machine Learning,ICSE-SEIP,2024,Revised Code Generation,Implementing the Code Change Requested by a Reviewer,"C++, Python, Java",Yes,-,Diff hunk,TRUE,TRUE,T5X,DL,-,TRUE,TRUE,NO,-
Review efforts reduction by partitioning of static analysis warnings,SCAM,2013,Other,Partitioning Static Analysis Warnings,C,-,95,Code hunk,FALSE,FALSE,-,Data-flow Analysis,Review effort,FALSE,FALSE,NO,-
Review4Repair: Code review aided automatic program repairing,JIST,2022,Revised Code Generation,Implementing the Code Change Requested by a Reviewer,Java,~55k,~3k,Diff hunk,FALSE,TRUE,Sequence-to-Sequence,DL,Accuracy,FALSE,TRUE,Dataset: https://zenodo.org/record/4445747#.Y0546exBwQg   Code: https://github.com/Review4Repair/Review4Repair,YES
